"MOD_NAME","ITM_NAME","DSCR","ITM_TYPE","FLD_LEN","DECML"
"AE","","Adverse Event Log","","",NA
"AE","AEOUTCOM","Outcome","NUMBER","12","0"
"AE","AERELAT","Relationship to Study","NUMBER","12","0"
"AE","AERELPRO","Relationship to Study Procedure","NUMBER","12","0"
"AE","AESEVER","Severity","NUMBER","12","0"
"AE","AETERM","Adverse Event","CHAR","",NA
"AE","CNO","Site Number","NUMBER","12","0"
"AE","EVENT_ID","Visit ID","CHAR","3",NA
"AE","HLGTNAME","High Level Group Term","CHAR","120",NA
"AE","HLT_NAME","High Level Term","CHAR","120",NA
"AE","INFODT","Assessment Date","DATE","",NA
"AE","LAST_UPDATE","Date of most recent update to record","TIMESTAMP","",NA
"AE","LLT_NAME","Low Level Term","CHAR","100",NA
"AE","ORIG_ENTRY","Date of original data entry","DATE","",NA
"AE","PAG_NAME","Page Name","CHAR","12",NA
"AE","PATNO","Participant ID","NUMBER","18","0"
"AE","PT_CODE","Preferred Term Code","NUMBER","15","0"
"AE","PT_NAME","Preferred Term Name","CHAR","120",NA
"AE","PWDTAE","Premature Withdrawal due to AE","NUMBER","1",NA
"AE","QUERY","Any open/pending queries on this record","NUMBER","1",NA
"AE","REC_ID","Record ID","CHAR","36",NA
"AE","SAE","SAE","NUMBER","1",NA
"AE","SEQNO","Sequence Number","NUMBER","12","0"
"AE","SOCABBR1","System Organ Class 1","CHAR","5",NA
"AE","STARTDT","Start Date","DATE","",NA
"AE","STOPDT","Stop Date","DATE","",NA
"AE","VMEDDRA","MedDRA Version","CHAR","8",NA
"AGE_AT_VISIT","AGE_AT_VISIT","Age at Visit","NUMBER","3","1"
"AGE_AT_VISIT","EVENT_ID","Visit ID","TEXT","3",NA
"AGE_AT_VISIT","PATNO","Participant ID","NUMBER","18","0"
"AGE_AT_VISIT","","Patient age at visit","","",NA
"AMBULATORY","age_seconds","Participant's pseudo-age in seconds","DATE","0","0"
"AMBULATORY","subject","Participant ID","CHAR","16","0"
"AMBULATORY","sum_walking_minutes","Minutes in the day where the participant is walking, running, going up stairs, etc.","NUMBER","19","0"
"AMBULATORY","time_day","Day of week","CHAR","3","0"
"AMBULATORY","time_local","Time in participant's local time zone","TIME","8","0"
"AMBULATORY","time_ms","Epoch time (Convert all millisecond timestamps in the PST (-7:00) timezone to get the day of week and local time)","CHAR","25","0"
"AMBULATORY","","Derived ambulatory metrics from digital sensor recordings","","",NA
"ASSAY_DEV_CATALOG","","IUSM Assay Catalog (In Development)","","",NA
"ASSAY_DEV_CATALOG","RIN_ROBOT","RIN machine used","CHAR","",NA
"ASSAY_DEV_CATALOG","QC_CLASS_RNA","Class of RNA","CHAR","",NA
"ASSAY_DEV_CATALOG","QC_STATUS_DNA_RNA","Status of RNA/DNA QC","CHAR","",NA
"ASSAY_DEV_CATALOG","CLOTTING","Is there clotting","CHAR","",NA
"ASSAY_DEV_CATALOG","TURBIDITY","How cloudy is the sample","CHAR","",NA
"ASSAY_DEV_CATALOG","AVERAGE_HEMOGLOBIN","Hemoglobin levels","CHAR","",NA
"ASSAY_DEV_CATALOG","ALIAS_ID","Patient Number","CHAR","100",NA
"ASSAY_DEV_CATALOG","CLINICAL_EVENT","Event Name","CHAR","100",NA
"ASSAY_DEV_CATALOG","CONCENTRATION","Concentration","NUMBER","12","4"
"ASSAY_DEV_CATALOG","MASS_UG","Mass ug","NUMBER","12","4"
"ASSAY_DEV_CATALOG","NUM_AVAILABLE","Num Aliquots Available","CHAR","100",NA
"ASSAY_DEV_CATALOG","QUANTITY","Quantity","NUMBER","12","4"
